Generación,Tipo,Energía (MeV)
8,electron,2.84487513116079
8,electron,3.497297031672783
8,positron,5.930858168276487
8,gamma,1.60212791833231
8,electron,3.3905306202655376
8,gamma,1.4836832215002653
8,electron,2.3821807858693296
8,electron,6.462499197547885
8,positron,4.878148306923977
8,gamma,5.600508399087544
8,electron,5.694111059920544
9,gamma,0.9942059979000538
9,electron,1.0572749497370286
9,electron,1.1495252424714262
9,positron,1.518700289766227
9,gamma,0.8106843929802015
9,electron,1.289915183161877
9,gamma,1.8892680579121925
9,electron,3.0917603752368352
9,electron,1.6396477874217823
9,positron,1.1567460106910488
9,gamma,1.1094164992184223
9,electron,0.7212761370983467
9,gamma,1.2410569766436501
9,electron,0.7137786180725472
9,electron,2.2406699894734152
9,positron,1.4541142430579954
9,gamma,1.4423614639753644
9,electron,1.5677755063796024
9,electron,0.8919143543707243
9,positron,0.6112925337433718
9,gamma,2.1400008330305864
9,electron,1.1963564079349838
9,electron,1.7610249462133785
9,positron,1.5972806048515833
9,electron,0.6355265100446035
9,positron,0.8136209511216793
9,gamma,0.3410817963116117
9,electron,0.6950870076036042
9,gamma,0.8739465000539863
9,electron,1.7926454871496462
9,electron,1.329754830827596
9,positron,0.9460150981259536
9,gamma,2.337244696859312
9,electron,1.8273541269494795
9,gamma,2.632208650727526
9,electron,4.401551592929517
9,gamma,5.062436329944703
9,electron,1.3335803026023099
9,positron,1.3057799245530122
9,gamma,0.5109281197165747
9,electron,1.1689515071678422
9,gamma,0.7437293303747918
9,electron,1.138426122092579
9,electron,0.6589078900877562
9,positron,0.9042943148266654
9,electron,0.5550222615312467
9,positron,1.0865438075786478
9,gamma,1.182379519433585
9,electron,1.5298443330146094
9,gamma,0.8114553708603474
9,electron,1.8455525310240226
9,electron,2.3356337812057753
9,positron,2.967613681269116
9,gamma,2.6887216036041064
9,electron,1.5412329081839964
9,electron,0.8624279175098237
9,positron,0.854138869279361
9,gamma,0.8426059329857981
9,electron,0.6231856882525696
9,electron,1.1930502628181503
9,positron,1.219293117404857
9,gamma,0.4973610532228933
9,electron,0.8639543684968247
9,gamma,0.8490689712508322
9,electron,0.5827638062659107
9,gamma,2.7346764252815565
9,electron,1.2039593363986103
9,positron,0.6103718411246096
9,gamma,0.8913386181048477
9,electron,1.0269333395500677
9,gamma,1.0446395367336014
9,electron,0.6634721424910026
9,electron,1.9971569456085578
9,positron,2.666840517932324
9,gamma,2.507884160301662
9,electron,1.2836452650670025
9,gamma,0.7106496416683745
9,electron,1.2217619157287
9,electron,0.4552967974396943
9,positron,0.9748307438216584
9,electron,0.7314324155286552
9,positron,0.6350104438982659
9,gamma,0.31332307224535105
9,electron,0.7225540386238978
9,electron,0.6081115918807606
9,positron,0.6979511559848984
9,gamma,0.4282894686218405
9,electron,0.8322203867672967
9,electron,0.684252526528464
9,positron,0.4975003057007277
9,electron,0.4145264337979451
9,positron,0.8969119829358696
9,gamma,1.206374357271752
9,electron,0.8054358545681319
9,gamma,0.783521990384342
9,electron,0.40134688373462857
9,electron,0.9188329055747703
9,positron,1.6776353438448415
9,gamma,0.6735980366805085
9,electron,0.49158530899129094
9,gamma,1.6379585147069764
9,electron,1.7570622688029118
9,gamma,5.036557662760345
9,electron,0.5662774723950982
9,positron,0.9192414479946811
9,gamma,0.803470632874963
9,electron,1.8737780597200038
9,electron,0.6501552035971455
9,positron,1.5094525496533064
9,gamma,2.735856285051993
9,electron,1.1931113112520118
9,gamma,0.6553077793623479
9,electron,1.2374531973363938
9,gamma,1.6629371060864389
9,gamma,0.5864893000801205
9,electron,0.5102955213331218
9,gamma,1.0790798208439154
9,electron,0.8617342773935515
9,gamma,1.0615314632204131
9,electron,1.2621886880982705
9,electron,2.0754643059632776
9,positron,1.2345727448825277
9,gamma,1.1671266056036607
9,electron,1.6777485255571292
9,gamma,1.6616204554790512
9,electron,1.835676576193732
9,electron,0.56924382211882
9,positron,1.0328840962134902
9,gamma,1.9106261987653204
9,electron,1.4799044215002173
9,electron,0.5808167683087972
9,positron,0.9028664531914681
9,gamma,1.0112807437736875
9,electron,1.370900042095642
9,gamma,3.8242690530364847
9,electron,2.6382301445114003
9,electron,2.967556730231436
9,positron,2.632951668856108
9,gamma,3.303372684523413
9,electron,2.3907383753971305
