Generacion,Tipo,Energia (MeV)
8,electron,0.6937090054306396
8,electron,2.828796123626543
8,positron,3.656554780152126
8,gamma,1.4801398263904877
8,electron,0.8120958013019053
8,electron,1.2399541577310471
8,positron,0.7993416789440635
8,gamma,3.035775340482468
8,electron,1.5872804504593452
8,electron,2.0404813750179054
8,positron,1.2661209663800244
8,gamma,2.6357589674180026
8,electron,2.8164168703827386
8,electron,10.529884748963088
8,positron,6.811036588584713
8,gamma,5.546912156698985
8,electron,3.614537319498023
8,gamma,4.7738115261645735
8,electron,3.4295554478716377
8,positron,5.1456407756427796
8,gamma,3.743903670008504
8,electron,1.8749883261402251
8,gamma,3.266883642014483
8,electron,4.644180499603996
8,electron,4.960461574532181
8,positron,2.301251240607404
8,gamma,1.5013764165492254
8,electron,1.7121145564915907
8,electron,3.4612109200338326
8,positron,3.7216391939106117
8,gamma,1.535844230070047
8,electron,1.9006252635756495
8,electron,3.2776075401206963
8,positron,3.181593030544671
8,gamma,1.8690227745923376
8,electron,1.3145437454334394
8,gamma,0.6166479849184503
8,electron,0.7580905881616238
8,gamma,2.167802169727745
8,electron,0.7194706681758067
8,positron,1.4509321757347964
8,gamma,1.3320496821426984
8,electron,0.6730922734237437
8,gamma,3.5837643938864145
8,electron,4.939791457740596
8,gamma,6.411133908878259
8,electron,1.476779752622604
8,positron,1.4672878336101849
8,gamma,2.3834945495978515
8,electron,1.0257978913169703
8,electron,2.897815233679812
8,positron,6.068565719114743
8,gamma,2.7725383487958117
8,electron,3.6678251859113145
8,electron,2.821468248369651
8,positron,3.224945548842499
8,gamma,1.4471985564535064
8,electron,1.4873320904332783
8,electron,0.9005635514411827
8,positron,0.490983470851235
8,gamma,0.4366813321167452
8,electron,0.7375932416829266
8,electron,1.8072422603878842
8,positron,1.1754438490151098
8,gamma,0.6858016501911168
8,electron,0.40083753793375454
8,gamma,2.366842771899615
8,electron,1.1903421462709334
8,positron,1.0152684945178856
8,gamma,1.175604363670219
8,electron,1.054454786023851
8,electron,2.474217901787732
8,positron,1.6001672629126216
8,gamma,1.1257082061584398
8,electron,1.3139468544907251
8,gamma,3.1267669137654965
8,electron,1.7236458267039532
8,gamma,4.859378312552927
8,electron,1.2232618080120587
8,positron,1.6379399893182198
8,gamma,4.0000975674360495
8,electron,2.5101595115143223
8,electron,1.4238911947689643
8,positron,2.478410477004486
8,gamma,1.0707790143889862
8,electron,0.7795124794396753
8,electron,0.7640744033232627
8,positron,1.7041272610628952
8,gamma,0.9700332374039158
8,electron,0.7538508099576315
8,electron,1.1675939048279698
8,positron,2.139696880107978
8,gamma,4.2915111045782695
8,electron,2.4201608203415503
9,gamma,0.5853496077856145
9,electron,1.1366681827857774
9,gamma,1.5827729418154364
9,electron,1.2460231818111065
9,gamma,3.656554780152126
9,electron,0.5194155108327192
9,positron,0.9607243155577685
9,gamma,0.7149405735358519
9,electron,0.5250135841951952
9,electron,1.9066340576899086
9,positron,1.1291412827925595
9,gamma,0.9568501329715117
9,electron,0.6304303174878335
9,gamma,1.0142736003195592
9,electron,1.0262077746983462
9,gamma,1.2661209663800244
9,electron,1.5444697492865882
9,positron,1.0912892181314144
9,gamma,1.785285150974461
9,electron,1.0311317194082776
9,gamma,4.266851995657837
9,electron,6.263032753305251
9,gamma,6.811036588584713
9,electron,2.011425465301509
9,positron,3.535486691397476
9,gamma,2.107336475456065
9,electron,1.5072008440419582
9,electron,2.6393523299523403
9,positron,2.1344591962122332
9,gamma,1.2353273406350749
9,electron,2.1942281072365626
9,electron,2.4523237219189173
9,positron,1.2915799480895869
9,gamma,0.8108350026656385
9,electron,1.0641533234745868
9,electron,1.6615788190919285
9,positron,1.6053048229225544
9,gamma,3.192581902544241
9,electron,1.4515985970597551
9,gamma,2.6489198708714348
9,electron,2.3115417036607466
9,gamma,2.301251240607404
9,electron,0.7116293211786296
9,positron,0.7897470953705957
9,gamma,0.9709940537592955
9,electron,0.7411205027322952
9,gamma,2.0872843392793525
9,electron,1.37392658075448
9,gamma,3.7216391939106117
9,electron,0.9148073682752552
9,positron,0.6210368617947918
9,gamma,1.3234090256189943
9,electron,0.5772162379566552
9,gamma,1.5343957381686852
9,electron,1.743211801952011
9,gamma,3.181593030544671
9,electron,0.9674249694432128
9,positron,0.9015978051491248
9,gamma,0.6729634581953455
9,electron,0.6415802872380939
9,electron,1.3500522393500098
9,positron,0.8177499303777354
9,electron,0.4837814127928476
9,positron,0.8482682693498507
9,electron,1.240817866206228
9,positron,2.342946527680187
9,gamma,3.2354908195662127
9,electron,1.7043006381743835
9,electron,3.1029288825252066
9,positron,3.3082050263530527
9,gamma,1.0319777549941758
9,electron,0.4448019976284283
9,gamma,1.4672878336101849
9,electron,0.8400918172052787
9,positron,1.5434027323925728
9,gamma,0.581515239228967
9,electron,0.4442826520880033
9,gamma,1.7494577272459642
9,electron,1.1483575064338478
9,gamma,6.068565719114743
9,electron,1.5395547277508352
9,positron,1.2329836210449765
9,gamma,1.648996077309227
9,electron,2.0188291086020875
9,gamma,1.4857309093127975
9,electron,1.3357373390568534
9,gamma,3.224945548842499
9,electron,0.5043834295452879
9,positron,0.9428151269082186
9,gamma,0.8326924872907505
9,electron,0.6546396031425278
9,gamma,0.8987256898423298
9,electron,0.9085165705455543
9,gamma,1.1754438490151098
9,electron,1.1284655912528365
9,positron,1.2383771806467785
9,gamma,0.7773582180371685
9,electron,0.41298392823376484
9,electron,0.6723387938235444
9,positron,0.5032655698466745
9,gamma,0.38278419125048135
9,electron,0.6716705947733695
9,gamma,0.9634459059151893
9,electron,1.5107719958725427
9,gamma,1.6001672629126216
9,electron,0.760944534468969
9,positron,0.3647636716894708
9,gamma,0.9182188338185204
9,electron,0.3957280206722047
9,electron,1.182470936733643
9,positron,1.9442959770318535
9,gamma,1.0089541039147254
9,electron,0.7146917227892278
9,electron,2.0644870936537445
9,positron,2.794891218899183
9,gamma,0.4490385848915884
9,electron,0.7742232231204704
9,gamma,1.6379399893182198
9,electron,2.67601210230053
9,positron,1.3240854651355194
9,gamma,0.8225034232995219
9,electron,1.6876560882148004
9,gamma,0.8629424525347021
9,electron,0.5609487422342622
9,gamma,2.478410477004486
9,electron,0.6123764352316368
9,positron,0.4584025791573494
9,gamma,1.7041272610628952
9,gamma,0.5406934512105012
9,electron,0.6269004536174686
9,gamma,2.139696880107978
9,electron,1.972195584867651
9,positron,2.319315519710618
9,gamma,1.2462768810127511
9,electron,1.1738839393287992
